country_iso3,country_name,cluster,fimi_version,n,mean,sd,se,ci_lower,ci_upper
AUT,Austria,Western,full,599,4.764607679465776,0.8787518063318916,0.03657335553289322,4.6887242626599885,4.834515859766277
BEL,Belgium,Western,full,595,4.823529411764706,0.9088584694922726,0.03708831578729927,4.7513322829131655,4.891596638655463
BGR,Bulgaria,Central-East,full,592,4.748944256756757,1.0109248543711018,0.04334926833445431,4.6587943412162165,4.83037549268018
DEU,Germany,Western,full,598,4.616429765886288,0.9541162718547652,0.03902259307796913,4.536860716276477,4.692027243589743
EST,Estonia,Baltic,full,604,5.035389072847682,0.981728121945873,0.04060432559679729,4.955929221854305,5.116095819536424
FRA,France,Western,full,596,4.711199664429531,0.9490095387323196,0.03818298328080743,4.639405061521252,4.788723434004474
HUN,Hungary,Central-East,full,599,4.784432387312187,0.9979016085871802,0.041431991346226896,4.7035510573177515,4.86504938786867
ITA,Italy,Southern,full,606,4.783622112211221,0.9418138596458359,0.038309343031627856,4.708886826182619,4.860284309680967
LTU,Lithuania,Baltic,full,593,5.254215851602024,1.0195684288129394,0.0433484097210276,5.169970840359753,5.33789523608769
LVA,Latvia,Baltic,full,596,5.140729865771812,0.8903303206372521,0.03505129975191925,5.071943162751678,5.21105634787472
POL,Poland,Central-East,full,600,4.942916666666666,0.9558938913960258,0.04031411979033828,4.861666666666666,5.020685763888888
SRB,Serbia,Southern,full,606,4.881806930693069,0.9914563096285699,0.03935061740509407,4.801779084158416,4.953100935093509
TUR,Turkey,Southern,full,599,4.647328881469115,1.1666828144999035,0.04855950517682285,4.5502312882582086,4.741444073455759
AUT,Austria,Western,russian_origin,599,4.956594323873122,1.0027315972990516,0.04077818909904104,4.871680578742348,5.036271563717307
BEL,Belgium,Western,russian_origin,595,5.031596638655462,1.0500969838112837,0.041975190064042926,4.947226890756302,5.111588235294118
BGR,Bulgaria,Central-East,russian_origin,592,4.930743243243243,1.1724996603082525,0.05050041883880338,4.824670608108108,5.0278096846846845
DEU,Germany,Western,russian_origin,598,4.792307692307692,1.0898070575816616,0.04457067240203768,4.704462095875139,4.8768088071348945
EST,Estonia,Baltic,russian_origin,604,5.298013245033113,1.1528302585945063,0.047415299681331596,5.203327814569537,5.390833333333333
FRA,France,Western,russian_origin,596,5.057718120805369,1.2007942026214302,0.047101546375927485,4.967678970917226,5.156694630872483
HUN,Hungary,Central-East,russian_origin,599,5.036727879799666,1.1851872738041456,0.049159307888720784,4.938686700055649,5.128767390094602
ITA,Italy,Southern,russian_origin,606,5.092739273927393,1.1230036853742276,0.04534224251446073,5.007373487348735,5.186573157315731
LTU,Lithuania,Baltic,russian_origin,593,5.499831365935919,1.1794481525219715,0.050348370300064435,5.400460933108488,5.60022203485104
LVA,Latvia,Baltic,russian_origin,596,5.416778523489933,1.0331580164719079,0.04131563937470835,5.334236577181208,5.497978187919463
POL,Poland,Central-East,russian_origin,600,5.0889999999999995,1.0791756267582149,0.04585305430066588,5.001455555555555,5.177219444444445
SRB,Serbia,Southern,russian_origin,606,5.093069306930693,1.1485030797147349,0.04581495135244991,5.002318481848184,5.182065456545654
TUR,Turkey,Southern,russian_origin,599,4.809015025041736,1.30103593845512,0.053134643048475205,4.703302726766834,4.914067890929327
AUT,Austria,Western,chinese_origin,599,4.444629938786867,1.1431555189276856,0.047386634183562336,4.355416434798739,4.541253941754777
BEL,Belgium,Western,chinese_origin,595,4.476750700280112,1.1301281227903337,0.04749380596128079,4.383384687208217,4.568067226890756
BGR,Bulgaria,Central-East,chinese_origin,592,4.445945945945946,1.2128621052134956,0.05014997726495883,4.3459271771771775,4.544289602102102
DEU,Germany,Western,chinese_origin,598,4.32329988851728,1.1647673934982112,0.04800341645496013,4.227615198810851,4.4169453734671125
EST,Estonia,Baltic,chinese_origin,604,4.597682119205298,1.106385539320812,0.04550857944962736,4.509018579838116,4.688176048565121
FRA,France,Western,chinese_origin,596,4.133668903803132,1.1708535831436204,0.04898794733694352,4.041018829231916,4.229483594332588
HUN,Hungary,Central-East,chinese_origin,599,4.363939899833055,1.1555007888069129,0.047444657205255904,4.265822667408644,4.4577953997403075
ITA,Italy,Southern,chinese_origin,606,4.268426842684269,1.106539796762889,0.04548045009945153,4.178405757242391,4.352745691235791
LTU,Lithuania,Baltic,chinese_origin,593,4.844856661045531,1.200095506971498,0.04947420815462994,4.743114109050028,4.937413340828181
LVA,Latvia,Baltic,chinese_origin,596,4.680648769574944,1.0949294339874667,0.04336895530845177,4.598256897837435,4.764350298284862
POL,Poland,Central-East,chinese_origin,600,4.6994444444444445,1.1949003068614832,0.04805069100058842,4.60574537037037,4.792587962962963
SRB,Serbia,Southern,chinese_origin,606,4.52970297029703,1.15840745299154,0.047113312462866416,4.438943894389439,4.616785845251192
TUR,Turkey,Southern,chinese_origin,599,4.377851975514747,1.325458596718828,0.056337694713671116,4.265266184381376,4.480801335559265
AUT,Austria,Western,short,599,4.885642737896495,1.0302015644788636,0.041991062292391974,4.799391346688926,4.969532554257095
BEL,Belgium,Western,short,595,4.853781512605042,1.0256836363518063,0.04178358739891243,4.771018907563025,4.9336134453781515
BGR,Bulgaria,Central-East,short,592,4.719594594594595,1.1441772716404497,0.04876878835059776,4.619510135135135,4.812778012387387
DEU,Germany,Western,short,598,4.707357859531773,1.1098860048441213,0.04461365800921328,4.620126114827202,4.793896321070234
EST,Estonia,Baltic,short,604,4.924254966887418,1.1072070286103421,0.045796189636296857,4.831822571743929,5.016949503311258
FRA,France,Western,short,596,4.7365771812080535,1.067879086607131,0.04259576495340753,4.6528278803131995,4.819211409395973
HUN,Hungary,Central-East,short,599,4.807595993322204,1.0961417118964005,0.04557894596804956,4.716753617139677,4.897043683917641
ITA,Italy,Southern,short,606,4.73473597359736,1.0246316070543775,0.040718930645359294,4.654431380638064,4.811599284928493
LTU,Lithuania,Baltic,short,593,5.25,1.103970108290981,0.046625148910031125,5.158238476672288,5.340219224283305
LVA,Latvia,Baltic,short,596,5.178271812080537,1.0119007158645212,0.04029067970305939,5.097878215883669,5.258808724832215
POL,Poland,Central-East,short,600,5.085416666666666,1.0906798172830572,0.04611955767037261,4.991545138888889,5.177215277777777
SRB,Serbia,Southern,short,606,4.840759075907591,1.1264170145287968,0.04545679523545351,4.748490786578658,4.927372112211221
TUR,Turkey,Southern,short,599,4.49457429048414,1.3074873567394714,0.053949613640192566,4.385653171953256,4.5983548970506405
